state_territory,Total Cases,Confirmed_Cases,Probable_Cases,Cases_in_Last_7_Days,Case_Rate_per_100000,Total_Deaths,Confirmed_Deaths,Probable_Deaths,Deaths_in_Last_7_Days,Death_Rate_per_100000,Case_Rate_per_100000_in_Last_7_Days,Death_Rate_per_100K_in_Last_7_Days
Alaska,51204,null,null,1369,6999,252,null,null,24,34,26.7,0.5
Alabama,436087,345677,90410,18559,8894,6486,5350,1136,456,132,54.1,1.3
Arkansas,281382,null,null,13747,9324,4549,null,null,286,150,65.1,1.4
American Samoa,3,null,null,0,5,0,null,null,0,0,0,0
Arizona,708041,665506,42535,49855,9728,12001,10734,1267,962,164,97.9,1.9
California,3062068,null,null,202444,7750,35768,null,null,3477,90,73.2,1.3
Colorado,383008,364775,18233,11550,6651,5462,4761,701,119,94,28.7,0.3
Connecticut,237815,223508,14307,14393,6670,6819,5545,1274,225,191,57.7,0.9
District of Columbia,34905,null,null,1765,4946,867,null,null,25,122,35.7,0.5
Delaware,73233,69860,3373,4506,7521,1027,920,107,25,105,66.1,0.4
Florida,1597849,null,null,77905,7440,25011,null,null,1212,116,51.8,0.8
Federated States of Micronesia,1,1,0,0,1,0,null,null,0,0,0,0
Georgia,853173,707750,145423,52043,8036,13060,11670,1390,922,123,70,1.2
Guam,7547,null,null,73,4553,128,null,null,3,77,6.3,0.3
Hawaii,24201,null,null,753,1709,329,null,null,14,23,7.6,0.1
Iowa,310935,null,null,7815,9855,4478,null,null,221,141,35.4,1
Idaho,158798,129512,29286,5440,8886,1667,1462,205,78,93,43.5,0.6
Illinois,1093375,1093375,0,34051,8628,20534,18615,1919,661,162,38.4,0.8
Indiana,605426,null,null,22266,8993,9642,9267,375,396,143,47.3,0.8
Kansas,266653,219812,46841,10519,9153,3598,null,null,96,123,51.6,0.5
Kentucky,340779,269421,71358,19509,7628,3337,3069,268,276,74,62.4,0.9
Louisiana,380255,null,null,15402,8180,8483,7964,519,403,182,47.3,1.2
Massachusetts,477741,467845,9896,29474,6931,13910,13702,208,471,201,61.1,1
Maryland,339307,null,null,15276,5612,6837,6662,175,296,113,36.1,0.7
Maine,36274,29472,6802,3055,2698,540,531,9,33,40,32.5,0.4
Michigan,594920,546468,48452,15346,5957,14951,14070,881,401,149,22,0.6
Minnesota,452268,null,null,8706,8020,6100,5805,295,182,108,22.1,0.5
Missouri,445621,null,null,9422,7261,6527,null,null,274,106,21.9,0.6
Northern Mariana Islands,129,129,0,1,0,2,2,0,0,3,0.3,0
Mississippi,263023,168027,94996,12154,8838,5752,4257,1495,271,193,58.3,1.3
Montana,91049,91049,0,2414,8519,1104,1104,0,18,103,32.3,0.2
North Carolina,705535,634593,70942,45695,6727,8464,7756,708,531,80,62.2,0.7
North Dakota,96720,92676,4044,1006,12692,1411,null,null,30,185,18.9,0.6
Nebraska,186255,null,null,5345,9628,1878,null,null,41,97,39.5,0.3
New Hampshire,60951,null,null,5451,4483,971,null,null,63,71,57.3,0.7
New Jersey,650389,584291,66098,34357,7322,20875,18754,2121,555,235,55.3,0.9
New Mexico,167731,null,null,5926,7999,3077,null,null,203,146,40.4,1.4
Nevada,268212,null,null,10162,8708,3958,null,null,260,128,47.1,1.2
New York,751375,null,null,56182,6797,15300,null,null,843,138,72.6,1.1
New York City,566338,488037,78301,40429,6743,26466,21562,4904,495,315,68.8,0.8
Ohio,853982,749592,104390,39540,7306,10599,9464,1135,542,90,48.3,0.7
Oklahoma,374691,294846,79845,18094,9469,3241,2947,294,279,81,65.3,1
Oregon,136839,135119,1720,5581,3244,1865,1850,15,107,44,18.9,0.4
Pennsylvania,794172,699171,95001,39561,6204,20321,null,null,1364,158,44.2,1.5
Puerto Rico,90073,83670,6403,3550,2820,1771,1483,288,68,55,15.9,0.3
Palau,0,null,null,0,0,0,null,null,0,0,0,0
Rhode Island,109735,null,null,5292,10359,2083,null,null,78,196,71.4,1.1
Republic of Marshall Islands,4,4,0,0,7,0,null,null,0,0,0,0
South Carolina,409188,369782,39406,33221,7947,6404,5791,613,367,124,92.2,1
South Dakota,106716,null,null,1779,12063,1684,1362,322,55,190,28.7,0.9
Tennessee,701847,598674,103173,25808,10277,8777,7292,1485,466,128,54,1
Texas,2211289,null,null,138386,7626,33707,null,null,2257,116,68.2,1.1
Utah,333118,333118,0,13016,10391,1571,1530,41,99,49,58,0.4
Virginia,468655,378689,89966,39264,5491,6079,5334,745,373,71,65.7,0.6
Virgin Islands,2335,null,null,117,2231,24,null,null,0,22,16,0
Vermont,10759,null,null,1025,1724,169,null,null,6,27,23.5,0.1
Washington,298249,null,null,12279,3917,4114,null,null,211,54,23,0.4
Wisconsin,577991,530171,47820,14125,9927,6135,5643,492,365,105,34.7,0.9
West Virginia,113615,91358,22257,6966,6340,1856,null,null,123,103,55.5,1
Wyoming,50583,43151,7432,1674,8740,571,571,0,49,98,41.3,1.2
United States of America,24704417,11499129,1438710,1263640,7441,412592,216829,25387,21657,124,54.4,0.9
